doi,cr_title,cr_container_title,cr_short_container_title,cr_volume,cr_issue,cr_page,cr_year
10.1073/pnas.1907207116,Impact of increasing vegetarian availability on meal selection and sales in cafeterias,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,116,42,20923-20929,2019
10.3847/1538-4357/ab2cd5,SILVERRUSH. VIII. Spectroscopic Identifications of Early Large-scale Structures with Protoclusters over 200 Mpc at z ∼ 6–7: Strong Associations of Dusty Star-forming Galaxies,The Astrophysical Journal,ApJ,883,2,142,2019
10.1029/2019gl084598,"Volume Flow Rate Estimation for Small Explosions at Mt. Etna, Italy, From Acoustic Waveform Inversion",Geophysical Research Letters,Geophys. Res. Lett.,46,20,11071-11079,2019
10.1098/rspb.2019.1336,"The early elasmobranch
            Phoebodus
            : phylogenetic relationships, ecomorphology and a new time-scale for shark evolution",Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,286,1912,20191336,2019
10.1158/2159-8290.cd-19-0270,Polyunsaturated Fatty Acids from Astrocytes Activate PPARγ Signaling in Cancer Cells to Promote Brain Metastasis,Cancer Discovery,Cancer Discov,9,12,1720-1735,2019
10.1103/physrevlett.123.142502,"Multiple Shape Coexistence in 
Cd110,112",Physical Review Letters,Phys. Rev. Lett.,123,14,NA,2019
10.1016/j.cell.2019.08.052,Integrated Proteogenomic Characterization of HBV-Related Hepatocellular Carcinoma,Cell,Cell,179,2,561-577.e22,2019
10.1016/j.chembiol.2019.09.009,Family-wide Annotation of Enzymatic Pathways by Parallel In Vivo Metabolomics,Cell Chemical Biology,Cell Chemical Biology,26,11,1623-1629.e3,2019
10.1021/acs.est.9b03982,Sequestration of Radionuclides Radium-226 and Strontium-90 by Cyanobacteria Forming Intracellular Calcium Carbonates,Environmental Science & Technology,Environ. Sci. Technol.,53,21,12639-12647,2019
10.5343/bms.2019.0039,A depth cline in deep-sea octopods (Cephalopoda:  Graneledone) in the northeast Pacific Ocean,Bulletin of Marine Science,bms,96,2,323-340,2019
10.1038/s41562-019-0747-7,A collective blame hypocrisy intervention enduringly reduces hostility towards Muslims,Nature Human Behaviour,Nat Hum Behav,4,1,45-54,2019
10.1002/adma.201903270,Precision Imprinted Nanostructural Wood,Advanced Materials,Adv. Mater.,31,48,1903270,2019
10.1016/j.neuron.2019.08.033,An ER Assembly Line of AMPA-Receptors Controls Excitatory Neurotransmission and Its Plasticity,Neuron,Neuron,104,4,680-692.e9,2019
10.1103/physrevlett.123.150801,Transmission Electron Microscope Using a Linear Accelerator,Physical Review Letters,Phys. Rev. Lett.,123,15,NA,2019
10.1177/0361684319877199,Perceived Subtle Gender Bias Index: Development and Validation for Use in Academia,Psychology of Women Quarterly,Psychology of Women Quarterly,43,4,509-525,2019
10.1098/rspb.2019.1527,Phylodynamics reveals extinction–recolonization dynamics underpin apparently endemic vampire bat rabies in Costa Rica,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,286,1912,20191527,2019
10.1021/acs.nanolett.9b03258,Optical Processing of DNA-Programmed Nanoparticle Superlattices,Nano Letters,Nano Lett.,19,11,8074-8081,2019
10.1038/s41550-019-0931-8,Initial characterization of interstellar comet 2I/Borisov,Nature Astronomy,Nat Astron,4,1,53-57,2019
10.1016/j.molcel.2019.09.011,"MIGA2 Links Mitochondria, the ER, and Lipid Droplets and Promotes De Novo Lipogenesis in Adipocytes",Molecular Cell,Molecular Cell,76,5,811-825.e14,2019
10.1371/journal.pbio.3000392,An ecosystem-wide reproductive failure with more snow in the Arctic,PLOS Biology,PLoS Biol,17,10,e3000392,2019
10.1371/journal.pbio.3000456,The lunar cycle drives migration of a nocturnal bird,PLOS Biology,PLoS Biol,17,10,e3000456,2019
10.1175/bams-d-19-0033.1,Megaflashes: Just How Long Can a Lightning Discharge Get?,Bulletin of the American Meteorological Society,NA,101,1,E73-E86,2019
10.1016/j.molcel.2019.09.020,Distinct Roles for Condensin’s Two ATPase Sites in Chromosome Condensation,Molecular Cell,Molecular Cell,76,5,724-737.e5,2019
10.1103/physrevlett.123.163003,Decay of a Quantum Knot,Physical Review Letters,Phys. Rev. Lett.,123,16,NA,2019
10.1021/jacs.9b08060,Nanoribbons with Nonalternant Topology from Fusion of Polyazulene: Carbon Allotropes beyond Graphene,Journal of the American Chemical Society,J. Am. Chem. Soc.,141,44,17713-17720,2019
10.1242/jeb.198705,"High-speed locomotion in the Saharan silver ant, Cataglyphis bombycina",The Journal of Experimental Biology,J Exp Biol,222,20,jeb198705,2019
10.1016/j.cell.2019.09.029,Generation of Blastocyst-like Structures from Mouse Embryonic and Adult Cell Cultures,Cell,Cell,179,3,687-702.e18,2019
10.1017/irq.2019.7,"THE CITY AND LANDSCAPE OF UR: AN AERIAL, SATELLITE, AND GROUND REASSESSMENT",Iraq,Iraq,81,NA,173-206,2019
10.1111/1365-2745.13311,Priority effects will impede range shifts of temperate tree species into the boreal forest,Journal of Ecology,J Ecol,108,3,1155-1173,2019
10.1080/00222933.2019.1669730,A remarkable example of suspected Batesian mimicry of Gaboon Vipers (Reptilia: Viperidae: Bitis gabonica) by Congolese Giant Toads (Amphibia: Bufonidae: Sclerophrys channingi),Journal of Natural History,Journal of Natural History,53,29-30,1853-1871,2019
10.1016/j.cub.2019.09.028,Extremely loud mating songs at close range in white bellbirds,Current Biology,Current Biology,29,20,R1068-R1069,2019
10.1038/s41561-019-0462-z,Widespread drying of European peatlands in recent centuries,Nature Geoscience,Nat. Geosci.,12,11,922-928,2019
10.1021/acsnano.9b05652,In Situ Observation of Nanoparticle Exsolution from Perovskite Oxides: From Atomic Scale Mechanistic Insight to Nanostructure Tailoring,ACS Nano,ACS Nano,13,11,12996-13005,2019
10.1523/jneurosci.0428-19.2019,Predictability and Uncertainty in the Pleasure of Music: A Reward for Learning?,The Journal of Neuroscience,J. Neurosci.,39,47,9397-9409,2019
10.1016/j.cell.2019.10.002,"Attacking Latent HIV with convertibleCAR-T Cells, a Highly Adaptable Killing Platform",Cell,Cell,179,4,880-894.e10,2019
10.1103/physrevfluids.4.100511,Whiskey webs: Microscale “fingerprints” of bourbon whiskey,Physical Review Fluids,Phys. Rev. Fluids,4,10,NA,2019
10.1093/nargab/lqz012,Losses of human disease-associated genes in placental mammals,NAR Genomics and Bioinformatics,NA,2,1,NA,2019
10.1029/2019gl084397,A Speed Limit on Ice Shelf Collapse Through Hydrofracture,Geophysical Research Letters,Geophys. Res. Lett.,46,21,12092-12100,2019
10.1038/s41598-019-51884-5,Longest terrestrial migrations and movements around the world,Scientific Reports,Sci Rep,9,1,NA,2019
10.1038/s41551-019-0462-8,Functionalized helical fibre bundles of carbon nanotubes as electrochemical sensors for long-term in vivo monitoring of multiple disease biomarkers,Nature Biomedical Engineering,Nat Biomed Eng,4,2,159-171,2019
10.1038/s41587-019-0267-z,Broad-spectrum resistance to bacterial blight in rice using genome editing,Nature Biotechnology,Nat Biotechnol,37,11,1344-1350,2019
10.1038/s41893-019-0414-z,Emissions and health impacts from global shipping embodied in US–China bilateral trade,Nature Sustainability,Nat Sustain,2,11,1027-1033,2019
10.1785/0120190043,Impact of Down‐Dip Rupture Limit and High‐Stress Drop Subevents on Coseismic Land‐Level Change during Cascadia Megathrust Earthquakes,Bulletin of the Seismological Society of America,NA,109,6,2187-2197,2019
10.3847/1538-4357/ab4129,A Metal-poor Damped Lyα System at Redshift 6.4,The Astrophysical Journal,ApJ,885,1,59,2019
10.1126/science.aax8222,Atomic-scale spin sensing with a single molecule at the apex of a scanning tunneling microscope,Science,Science,366,6465,623-627,2019
10.1083/jcb.201902046,Vimentin protects cells against nuclear rupture and DNA damage during migration,Journal of Cell Biology,NA,218,12,4079-4092,2019
10.1016/j.cub.2019.10.024,Vampire Bats that Cooperate in the Lab Maintain Their Social Networks in the Wild,Current Biology,Current Biology,29,23,4139-4144.e4,2019
10.1016/j.joule.2019.09.021,Asymmetric Temperature Modulation for Extreme Fast Charging of Lithium-Ion Batteries,Joule,Joule,3,12,3002-3019,2019
10.1016/j.geomorph.2019.106933,Direct observations of a three million cubic meter rock-slope collapse with almost immediate initiation of ensuing debris flows,Geomorphology,Geomorphology,351,NA,106933,2019
10.1103/physrevx.9.041025,Nanorheology of Interfacial Water during Ice Gliding,Physical Review X,Phys. Rev. X,9,4,NA,2019
10.1038/s41562-019-0754-8,Overanxious and underslept,Nature Human Behaviour,Nat Hum Behav,4,1,100-110,2019
10.7554/elife.47788,A single clonal lineage of transmissible cancer identified in two marine mussel species in South America and Europe,eLife,NA,8,NA,NA,2019
10.1073/pnas.1908253116,Invasive grasses increase fire occurrence and frequency across US ecoregions,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,116,47,23594-23599,2019
10.1038/s41598-019-52277-4,Frequency of extreme precipitation increases extensively with event rareness under global warming,Scientific Reports,Sci Rep,9,1,NA,2019
10.1016/j.neuron.2019.10.006,Human Olfaction without Apparent Olfactory Bulbs,Neuron,Neuron,105,1,35-45.e5,2019
10.1128/aem.01521-19,Emergence of a Plant Pathogen in Europe Associated with Multiple Intercontinental Introductions,Applied and Environmental Microbiology,Appl Environ Microbiol,86,3,NA,2019
10.1038/s41567-019-0700-8,Imaging emergent heavy Dirac fermions of a topological Kondo insulator,Nature Physics,Nat. Phys.,16,1,52-56,2019
10.1038/s41563-019-0525-y,Three-dimensional printing of multicomponent glasses using phase-separating resins,Nature Materials,Nat. Mater.,19,2,212-217,2019
10.1073/pnas.1915258116,Unraveling driving forces explaining significant reduction in satellite-inferred Arctic surface albedo since the 1980s,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,116,48,23947-23953,2019
10.1021/jacs.9b09146,Bilingual Peptide Nucleic Acids: Encoding the Languages of Nucleic Acids and Proteins in a Single Self-Assembling Biopolymer,Journal of the American Chemical Society,J. Am. Chem. Soc.,141,48,19038-19047,2019
10.1017/laq.2019.79,"Unique Infant Mortuary Ritual at Salango, Ecuador, 100 BC",Latin American Antiquity,Latin Am. antiq.,30,4,851-856,2019
10.1016/j.molcel.2019.10.012,Epigenetic Regulator CoREST Controls Social Behavior in Ants,Molecular Cell,Molecular Cell,77,2,338-351.e6,2019
10.1093/jxb/erz508,Seed comparative genomics in three coffee species identify desiccation tolerance mechanisms in intermediate seeds,Journal of Experimental Botany,NA,71,4,1418-1433,2019
10.1007/s10071-019-01326-6,"The underestimated giants: operant conditioning, visual discrimination and long-term memory in giant tortoises",Animal Cognition,Anim Cogn,23,1,159-167,2019
10.1016/j.chom.2019.10.011,"Recovery of the Gut Microbiota after Antibiotics Depends on Host Diet, Community Context, and Environmental Reservoirs",Cell Host & Microbe,Cell Host & Microbe,26,5,650-665.e4,2019
10.1103/physrevlett.123.208002,Tuning the Random Walk of Active Colloids: From Individual Run-and-Tumble to Dynamic Clustering,Physical Review Letters,Phys. Rev. Lett.,123,20,NA,2019
10.1002/anie.201910175,"Injury‐Triggered Blueing Reactions of
            Psilocybe
            “Magic” Mushrooms",Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,59,4,1450-1454,2019
10.1051/0004-6361/201936757,The descent and bouncing path of the Hayabusa2 lander MASCOT at asteroid (162173) Ryugu,Astronomy & Astrophysics,A&A,632,NA,L3,2019
10.1038/s41558-019-0613-7,Acceleration of global N2O emissions seen from two decades of atmospheric inversion,Nature Climate Change,Nat. Clim. Chang.,9,12,993-998,2019
10.1016/j.quascirev.2019.105999,"Tsunami deposits refine great earthquake rupture extent and recurrence over the past 1300 years along the Nankai and Tokai fault segments of the Nankai Trough, Japan",Quaternary Science Reviews,Quaternary Science Reviews,227,NA,105999,2019
10.1073/pnas.1905814116,Bone-inspired microarchitectures achieve enhanced fatigue life,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,116,49,24457-24462,2019
10.3847/1538-4357/ab4b46,High Angular Resolution ALMA Images of Dust and Molecules in the SN 1987A Ejecta,The Astrophysical Journal,ApJ,886,1,51,2019
10.1126/scitranslmed.aaw0064,Therapeutic strategies for diffuse midline glioma from high-throughput combination drug screening,Science Translational Medicine,Sci. Transl. Med.,11,519,eaaw0064,2019
10.1177/0956797619887896,Misinformation and Morality: Encountering Fake-News Headlines Makes Them Seem Less Unethical to Publish and Share,Psychological Science,Psychol Sci,31,1,75-87,2019
10.1038/s41557-019-0356-0,Capture of nitrogen dioxide and conversion to nitric acid in a porous metal–organic framework,Nature Chemistry,Nat. Chem.,11,12,1085-1090,2019
10.1038/s41591-019-0650-9,Simultaneous detection of genotype and phenotype enables rapid and accurate antibiotic susceptibility determination,Nature Medicine,Nat Med,25,12,1858-1864,2019
10.1126/science.aax0868,Universality and diversity in human song,Science,Science,366,6468,eaax0868,2019
10.1098/rspb.2019.1929,Specialized sledge dogs accompanied Inuit dispersal across the North American Arctic,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,286,1916,20191929,2019
10.1016/j.cmet.2019.11.001,Gut Microbiome Fermentation Determines the Efficacy of Exercise for Diabetes Prevention,Cell Metabolism,Cell Metabolism,31,1,77-91.e5,2019
10.1126/sciadv.aaw2687,Plasmonic nanogap enhanced phase-change devices with dual electrical-optical functionality,Science Advances,Sci. Adv.,5,11,eaaw2687,2019
10.1080/00934690.2019.1684748,Centering the Classic Maya Kingdom of Sak Tz’i’,Journal of Field Archaeology,Journal of Field Archaeology,45,2,67-85,2019
10.1038/s41561-019-0491-7,A tenfold slowdown in river meander migration driven by plant life,Nature Geoscience,Nat. Geosci.,13,1,82-86,2019
10.1523/jneurosci.1802-19.2019,Serotonergic Plasticity in the Dorsal Raphe Nucleus Characterizes Susceptibility and Resilience to Anhedonia,The Journal of Neuroscience,J. Neurosci.,40,3,569-584,2019
10.1073/pnas.1913093116,Divergent trophic responses of sympatric penguin species to historic anthropogenic exploitation and recent climate change,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,116,51,25721-25727,2019
10.1103/physrevlett.123.238101,Electric Polarization of Soft Biological Tissues Induced by Ultrasound Waves,Physical Review Letters,Phys. Rev. Lett.,123,23,NA,2019
10.1029/2019gl084879,How Far North Did the African Monsoon Fringe Expand During the African Humid Period? Insights From Southwest Moroccan Speleothems,Geophysical Research Letters,Geophys. Res. Lett.,46,23,14093-14102,2019
10.1016/j.cell.2019.11.014,Gut-Innervating Nociceptor Neurons Regulate Peyer’s Patch Microfold Cells and SFB Levels to Mediate Salmonella Host Defense,Cell,Cell,180,1,33-49.e22,2019
10.1126/science.aax1323,Embryonal precursors of Wilms tumor,Science,Science,366,6470,1247-1251,2019
10.1002/ajp.23076,Artificial canopy bridges improve connectivity in fragmented landscapes: The case of Javan slow lorises in an agroforest environment,American Journal of Primatology,Am J Primatol,82,4,NA,2019
10.1039/c9cc06945c,An automated modular assembly line for drugs in a miniaturized plant,Chemical Communications,Chem. Commun.,56,7,1026-1029,2019
10.1038/s42255-019-0150-8,Mitochondrial DNA stress signalling protects the nuclear genome,Nature Metabolism,Nat Metab,1,12,1209-1218,2019
10.1073/pnas.1903844116,Postreproductive killer whale grandmothers improve the survival of their grandoffspring,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,116,52,26669-26673,2019
10.15184/aqy.2019.90,Palaeolithic seafaring in East Asia: testing the bamboo raft hypothesis,Antiquity,Antiquity,93,372,1424-1441,2019
10.1056/nejmc1911892,Changes in the Place of Death in the United States,New England Journal of Medicine,N Engl J Med,381,24,2369-2370,2019
10.1016/j.stem.2019.11.002,"High-Efficiency, Selection-free Gene Repair in Airway Stem Cells from Cystic Fibrosis Patients Rescues CFTR Function in Differentiated Epithelia",Cell Stem Cell,Cell Stem Cell,26,2,161-171.e4,2019
10.1002/adma.201906022,In Vivo Sequestration of Innate Small Molecules to Promote Bone Healing,Advanced Materials,Adv. Mater.,32,8,1906022,2019
10.1111/gcb.14903,Imaging spectroscopy reveals the effects of topography and logging on the leaf chemistry of tropical forest canopy trees,Global Change Biology,Glob Change Biol,26,2,989-1002,2019
10.1007/s00445-019-1340-7,"New insights into eruption source parameters of the 1600 CE Huaynaputina Plinian eruption, Peru",Bulletin of Volcanology,Bull Volcanol,82,1,NA,2019
10.1051/0004-6361/201834740,Multiple black hole system in 4C31.61 (2201+315),Astronomy & Astrophysics,A&A,634,NA,A101,2019
10.1038/s41893-019-0447-3,Evidence of gender inequality in energy use from a mixed-methods study in India,Nature Sustainability,Nat Sustain,3,2,110-118,2019
10.1021/jacs.9b11569,Machine Learning Assisted Synthesis of Metal–Organic Nanocapsules,Journal of the American Chemical Society,J. Am. Chem. Soc.,142,3,1475-1481,2019
10.1073/pnas.1918484117,Does repeat synthesis in materials chemistry obey a power law?,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,117,2,877-882,2019
10.1016/j.respol.2019.103879,The impact of permanent residency delays for STEM PhDs: Who leaves and why,Research Policy,Research Policy,49,9,103879,2019
10.1257/aer.20180946,"Regulating Innovation with Uncertain Quality: Information, Risk, and Access in Medical Devices",American Economic Review,American Economic Review,110,1,120-161,2019
10.1016/j.molcel.2019.12.003,Lipid Droplet-Derived Monounsaturated Fatty Acids Traffic via PLIN5 to Allosterically Activate SIRT1,Molecular Cell,Molecular Cell,77,4,810-824.e8,2019
10.1056/nejmoa1817591,Alcohol Abstinence in Drinkers with Atrial Fibrillation,New England Journal of Medicine,N Engl J Med,382,1,20-28,2020
10.1103/physreve.101.013001,Mechanics-based model for the cooking-induced deformation of spaghetti,Physical Review E,Phys. Rev. E,101,1,NA,2020
10.1126/science.aay5967,An RNA vaccine drives expansion and efficacy of claudin-CAR-T cells against solid tumors,Science,Science,367,6476,446-453,2020
10.1063/1.5111325,Nanostrain sensitivity in a wire torsion experiment,Review of Scientific Instruments,Review of Scientific Instruments,91,1,013901,2020
10.1126/sciadv.aau3798,China’s improving inland surface water quality since 2003,Science Advances,Sci. Adv.,6,1,eaau3798,2020
10.1029/2019jg005222,Enhanced Carbon Uptake and Reduced Methane Emissions in a Newly Restored Wetland,Journal of Geophysical Research: Biogeosciences,J. Geophys. Res. Biogeosci.,125,1,NA,2020
10.1038/s41588-019-0559-8,The Indian cobra reference genome and transcriptome enables comprehensive identification of venom toxins,Nature Genetics,Nat Genet,52,1,106-117,2020
10.1038/s41560-019-0517-9,Light-driven methane dry reforming with single atomic site antenna-reactor plasmonic photocatalysts,Nature Energy,Nat Energy,5,1,61-70,2020
10.1073/pnas.1917132117,Recovery of critically endangered Nassau grouper (Epinephelus striatus) in the Cayman Islands following targeted conservation actions,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,117,3,1587-1595,2020
10.1073/pnas.1820845116,Adolescents’ perceptions of family social status correlate with health and life chances: A twin difference longitudinal cohort study,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,117,38,23323-23328,2020
10.1017/rdc.2019.153,Using Carbon Isotopes to Fight the Rise in Fraudulent Whisky,Radiocarbon,Radiocarbon,62,1,51-62,2020
10.1111/1365-2745.13353,Neighbourhood diversity mitigates drought impacts on tree growth,Journal of Ecology,J Ecol,108,3,865-875,2020
10.1016/j.cub.2019.11.030,Parrots Voluntarily Help Each Other to Obtain Food Rewards,Current Biology,Current Biology,30,2,292-297.e5,2020
10.1111/ejn.14674,The basic helix‐loop‐helix transcription factor TCF4 impacts brain architecture as well as neuronal morphology and differentiation,European Journal of Neuroscience,Eur J Neurosci,51,11,2219-2235,2020
10.1038/s41467-019-13865-0,Low cost satellite constellations for nearly continuous global coverage,Nature Communications,Nat Commun,11,1,NA,2020
10.1111/evo.13893,"Signal evolution and morphological complexity in hummingbirds (Aves:
            Trochilidae
            )",Evolution,Evolution,74,2,447-458,2020
10.1126/sciadv.aay1632,The gathering firestorm in southern Amazonia,Science Advances,Sci. Adv.,6,2,eaay1632,2020
10.1016/j.palaeo.2020.109599,"A monodominant late-Pleistocene megafauna locality from Santa Elena, Ecuador: Insight on the biology and behavior of giant ground sloths","Palaeogeography, Palaeoclimatology, Palaeoecology","Palaeogeography, Palaeoclimatology, Palaeoecology",544,NA,109599,2020
10.1038/s41563-019-0566-2,The entry of nanoparticles into solid tumours,Nature Materials,Nat. Mater.,19,5,566-575,2020
10.1088/1748-9326/ab6ae3,The end of gunpoint conservation: forest disturbance after the Colombian peace agreement,Environmental Research Letters,Environ. Res. Lett.,15,3,034033,2020
10.1073/pnas.1916548117,Multifeature analyses of vascular cambial cells reveal longevity mechanisms in old Ginkgo biloba trees,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,117,4,2201-2210,2020
10.1093/poq/nfaa001,What Do Partisan Donors Want?,Public Opinion Quarterly,NA,84,1,104-118,2020
10.1088/1748-9326/ab6c2f,"Modeling the carbon footprint of fresh produce: effects of transportation, localness, and seasonality on US orange markets",Environmental Research Letters,Environ. Res. Lett.,15,3,034040,2020
10.1029/2019gl086178,Glacial Earthquakes and Precursory Seismicity Associated With Thwaites Glacier Calving,Geophysical Research Letters,Geophys. Res. Lett.,47,3,NA,2020
10.1016/j.stem.2019.12.007,Self-Organizing 3D Human Trunk Neuromuscular Organoids,Cell Stem Cell,Cell Stem Cell,26,2,172-186.e6,2020
10.1016/j.isci.2019.100811,Intrinsic Ball Retrieving in Wolf Puppies Suggests Standing Ancestral Variation for Human-Directed Play Behavior,iScience,iScience,23,2,100811,2020
10.1016/j.cell.2019.12.013,Identification of a Master Regulator of Differentiation in Toxoplasma,Cell,Cell,180,2,359-372.e16,2020
10.5194/acp-20-671-2020,Evidence for impacts on surface-level air quality in the northeastern US from long-distance transport of smoke from North American fires during the Long Island Sound Tropospheric Ozone Study (LISTOS) 2018,Atmospheric Chemistry and Physics,Atmos. Chem. Phys.,20,2,671-682,2020
10.1038/s41467-019-13985-7,"Precise radiometric age establishes Yarrabubba, Western Australia, as Earth’s oldest recognised meteorite impact structure",Nature Communications,Nat Commun,11,1,NA,2020
10.1056/nejmc1909867,Heat-Induced Brain Vitrification from the Vesuvius Eruption in c.e. 79,New England Journal of Medicine,N Engl J Med,382,4,383-384,2020
10.1126/science.aay1645,Chromatin accessibility dynamics in a model of human forebrain development,Science,Science,367,6476,eaay1645,2020
10.1103/physrevlett.124.038003,Water Affects Morphogenesis of Growing Aquatic Plant Leaves,Physical Review Letters,Phys. Rev. Lett.,124,3,NA,2020
10.3389/fmars.2020.00012,Estimating Global Catches of Marine Recreational Fisheries,Frontiers in Marine Science,Front. Mar. Sci.,7,NA,NA,2020
10.1039/c9gc03875b,"Borate chemistry inspired by cell walls converts soy protein into high-strength, antibacterial, flame-retardant adhesive",Green Chemistry,Green Chem.,22,4,1319-1328,2020
10.1038/s41551-019-0497-x,Robotic fluidic coupling and interrogation of multiple vascularized organ chips,Nature Biomedical Engineering,Nat Biomed Eng,4,4,407-420,2020
10.1038/s41929-019-0411-7,Engineering Escherichia coli lifespan for enhancing chemical production,Nature Catalysis,Nat Catal,3,3,307-318,2020
10.1038/s41591-019-0739-1,iPSC modeling of young-onset Parkinson’s disease reveals a molecular signature of disease and novel therapeutic candidates,Nature Medicine,Nat Med,26,2,289-299,2020
10.1073/pnas.1918047117,Archaeological evidence for two separate dispersals of Neanderthals into southern Siberia,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,117,6,2879-2885,2020
10.1785/0220190327,Recovering Analog-Tape Seismograms from the 1980 Mount St. Helens Pre-Eruption Period,Seismological Research Letters,NA,91,3,1430-1440,2020
10.1056/nejmoa1909666,Family History of Gastric Cancer and Helicobacter pylori Treatment,New England Journal of Medicine,N Engl J Med,382,5,427-436,2020
10.1130/gsatg419a.1,"¡Cuba! River Water Chemistry Reveals Rapid Chemical Weathering, the Echo of Uplift, and the Promise of More Sustainable Agriculture",GSA Today,GSAT,30,3,4-10,2020
10.1038/s41567-019-0772-5,Buffer gas cooling of a trapped ion to the quantum regime,Nature Physics,Nat. Phys.,16,4,413-416,2020
10.1002/anie.201916281,Tunable DNA Origami Motors Translocate Ballistically Over μm Distances at nm/s Speeds,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,59,24,9514-9521,2020
10.1073/pnas.1921653117,Parent coaching increases conversational turns and advances infant language development,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,117,7,3484-3491,2020
10.1098/rspb.2019.2882,Integration of shared-pathogen networks and machine learning reveals the key aspects of zoonoses and predicts mammalian reservoirs,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,287,1920,20192882,2020
10.1103/physrevlett.124.052501,"Longitudinal Wobbling Motion in 
Au187",Physical Review Letters,Phys. Rev. Lett.,124,5,NA,2020
10.1126/science.aba7365,CRISPR-engineered T cells in patients with refractory cancer,Science,Science,367,6481,eaba7365,2020
10.1029/2019jg005307,Carbon Cycling in the World's Deepest Blue Hole,Journal of Geophysical Research: Biogeosciences,J. Geophys. Res. Biogeosci.,125,2,NA,2020
10.1038/s41587-020-0422-6,"Complete, closed bacterial genomes from microbiomes using nanopore sequencing",Nature Biotechnology,Nat Biotechnol,38,6,701-707,2020
10.1038/s41562-020-0820-2,Interplay of chronotype and school timing predicts school performance,Nature Human Behaviour,Nat Hum Behav,4,4,387-396,2020
10.1073/pnas.1915364117,The typhoon-induced drying of the Maritime Continent,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,117,8,3983-3988,2020
10.1002/anie.201915425,Sulfur(IV)‐Mediated Unsymmetrical Heterocycle Cross‐Couplings,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,59,19,7372-7376,2020
10.1016/j.gr.2020.01.002,Nocticolid cockroaches are the only known dinosaur age cave survivors,Gondwana Research,Gondwana Research,82,NA,288-298,2020
10.1098/rsbl.2019.0914,"Small within the largest: brain size and anatomy of the extinct
            Neoepiblema acreensis
            , a giant rodent from the Neotropics",Biology Letters,Biol. Lett.,16,2,20190914,2020
10.1371/journal.pone.0228369,Consumers discard a lot more food than widely believed: Estimates of global food waste using an energy gap approach and affluence elasticity of food waste,PLOS ONE,PLoS ONE,15,2,e0228369,2020
10.1016/j.cell.2020.01.030,Cellular and Molecular Probing of Intact Human Organs,Cell,Cell,180,4,796-812.e19,2020
10.1103/physreve.101.022502,Identifying knot types of polymer conformations by machine learning,Physical Review E,Phys. Rev. E,101,2,NA,2020
10.1038/s41593-020-0584-z,Ultrasonic signals associated with different types of social behavior of mice,Nature Neuroscience,Nat Neurosci,23,3,411-422,2020
10.15184/aqy.2019.213,A Black Death mass grave at Thornton Abbey: the discovery and examination of a fourteenth-century rural catastrophe,Antiquity,Antiquity,94,373,179-196,2020
10.1021/acs.nanolett.9b05216,Dealloying Kinetics of AgAu Nanoparticles by In Situ Liquid-Cell Scanning Transmission Electron Microscopy,Nano Letters,Nano Lett.,20,3,1944-1951,2020
10.1016/j.cell.2020.01.023,A Metabolic Pathway for Activation of Dietary Glucosinolates by a Human Gut Symbiont,Cell,Cell,180,4,717-728.e19,2020
10.1126/science.aax0504,Old carbon reservoirs were not important in the deglacial methane budget,Science,Science,367,6480,907-910,2020
10.1016/j.cub.2019.12.067,Two MYB Proteins in a Self-Organizing Activator-Inhibitor System Produce Spotted Pigmentation Patterns,Current Biology,Current Biology,30,5,802-814.e8,2020
10.1063/1.5131758,"Laser-free GHz stroboscopic transmission electron microscope: Components, system integration, and practical considerations for pump–probe measurements",Review of Scientific Instruments,Review of Scientific Instruments,91,2,021301,2020
10.1038/s41591-020-0763-1,Initial results from a first-in-human gene therapy trial on X-linked retinitis pigmentosa caused by mutations in RPGR,Nature Medicine,Nat Med,26,3,354-359,2020
10.7554/elife.52828,A native prokaryotic voltage-dependent calcium channel with a novel selectivity filter sequence,eLife,NA,9,NA,NA,2020
10.1073/pnas.1917952117,Bioinspired underwater locomotion of light-driven liquid crystal gels,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,117,10,5125-5133,2020
